episode,train/kl_divergence_loss,train/is_line_search_success,train/std,train/policy_objective,train/explained_variance,Reward mean,Reward std,D loss,D acc expert,D acc,D acc gen,Expert mean prob,Gen mean prob,z mean,z std,KL(z|x),KL - I_c,beta
0,0.006147499196231365,1.0,0.9962344169616699,0.011130819097161293,-0.05170130729675293,-28.596434289216994,0.3090913934251793,0.6966801881790161,0.16500000655651093,0.4309999942779541,0.8299999833106995,0.4910171627998352,0.4905146658420563,-0.07983792573213577,1.062633752822876,0.553224503993988,0.05322450399398804,1.0005322694778442
1,0.006956847384572029,1.0,1.0394518375396729,0.01617402583360672,0.015189826488494873,-26.721659192442893,0.5575043688119112,0.6973399519920349,0.6833333373069763,0.48500001430511475,0.1875,0.5053530335426331,0.5126524567604065,0.2956165075302124,1.896843671798706,8.15654468536377,7.6565446853637695,1.0770976543426514
2,0.006757386028766632,1.0,1.035794734954834,0.01681823655962944,-0.02607285976409912,-28.175525718927382,0.42379343552999316,0.696577787399292,0.2874999940395355,0.4339999854564667,0.6537500023841858,0.4946333169937134,0.4959656894207001,0.14306248724460602,1.0287189483642578,0.6526879668235779,0.15268796682357788,1.0786244869232178
3,0.007235536351799965,1.0,1.0443629026412964,0.02545040287077427,0.22309613227844238,-28.477396297454835,0.4451986131963262,0.6968615055084229,0.24166665971279144,0.4300000071525574,0.7124999761581421,0.4935261011123657,0.4946468770503998,0.028999725356698036,0.9598626494407654,0.1386660784482956,-0.3613339066505432,1.075011134147644
4,0.009357496164739132,1.0,1.0527546405792236,0.03727575019001961,0.38463491201400757,-28.979098519682886,1.1043106145660535,0.6946893930435181,0.3316666781902313,0.4715000092983246,0.6812499761581421,0.496298223733902,0.4961477518081665,-0.00988457165658474,0.9976486563682556,0.10359089821577072,-0.3964090943336487,1.071047067642212
5,0.008168159984052181,1.0,1.0292305946350098,0.03065083920955658,0.2820035219192505,-28.573647087812425,1.0302696093063621,0.6935485601425171,0.4350000023841858,0.5044999718666077,0.6087499856948853,0.49835118651390076,0.4978198707103729,-0.005200443789362907,1.0020461082458496,0.07050801813602448,-0.4294919967651367,1.0667521953582764
6,0.006514037027955055,1.0,1.0092037916183472,0.023638300597667694,0.45937806367874146,-29.057686558365823,1.2190241559723578,0.693385124206543,0.4950000047683716,0.4884999990463257,0.47874999046325684,0.5000854730606079,0.5002106428146362,-0.004902503453195095,0.9999830722808838,0.04609626159071922,-0.4539037346839905,1.0622131824493408
7,0.008030835539102554,1.0,0.9898785352706909,0.02507556974887848,0.3972669243812561,-29.20337671339512,1.2842275854733431,0.6924675703048706,0.550000011920929,0.5130000114440918,0.45750001072883606,0.5014848113059998,0.5011650323867798,0.00020068231970071793,1.001391887664795,0.037946030497550964,-0.46205395460128784,1.0575926303863525
8,0.008332112804055214,1.0,1.0098234415054321,0.029015060514211655,0.06686848402023315,-29.71848959624767,1.4785799721414588,0.6921992301940918,0.612500011920929,0.5145000219345093,0.3675000071525574,0.5028470158576965,0.5028544068336487,-0.004493112210184336,1.011789321899414,0.03160315379500389,-0.4683968424797058,1.0529086589813232
9,0.0064698476344347,1.0,1.0267539024353027,0.020454619079828262,-0.4446171522140503,-29.291457858681678,1.169697506760576,0.6916071772575378,0.6633333563804626,0.5260000228881836,0.3199999928474426,0.5045046806335449,0.5045594573020935,0.003647139761596918,0.9973286986351013,0.028918540105223656,-0.4710814654827118,1.048197865486145
10,0.00869898870587349,1.0,1.083432912826538,0.02214815281331539,-0.6714828014373779,-29.69099362194538,1.3001903042389686,0.69098299741745,0.7291666865348816,0.5485000014305115,0.2775000035762787,0.5061126947402954,0.5061432719230652,-0.007614476606249809,1.007483959197998,0.02568400651216507,-0.4743160009384155,1.043454647064209
11,0.007673487067222595,1.0,1.0814253091812134,0.025164708495140076,-0.21182024478912354,-28.876742097735406,1.0772170774018728,0.6904743313789368,0.778333306312561,0.5649999976158142,0.24500000476837158,0.5073409080505371,0.5073075890541077,-0.004328441806137562,1.0058549642562866,0.021900929510593414,-0.4780990779399872,1.0386736392974854
12,0.008574530482292175,1.0,1.08878493309021,0.027725882828235626,-0.14786970615386963,-28.48582440316677,0.7827539913200131,0.6898275017738342,0.8141666650772095,0.5684999823570251,0.20000000298023224,0.5089970827102661,0.5089059472084045,-0.008560188114643097,0.992820143699646,0.02417423203587532,-0.4758257567882538,1.033915400505066
13,0.008471446111798286,1.0,1.090743064880371,0.026672545820474625,0.27497589588165283,-27.992797476053237,0.9869180669112213,0.6893726587295532,0.8458333611488342,0.5715000033378601,0.1599999964237213,0.510750949382782,0.510850191116333,-0.01185406744480133,1.0063440799713135,0.027534307911992073,-0.4724656939506531,1.0291907787322998
14,0.007282618898898363,1.0,1.0857746601104736,0.03173420950770378,0.5149309635162354,-27.237011563777923,0.5834909998067316,0.6904031038284302,0.8774999976158142,0.5669999718666077,0.10125000029802322,0.5117247104644775,0.5134943127632141,-0.020184677094221115,1.0125832557678223,0.02709423564374447,-0.4729057550430298,1.0244617462158203
15,0.006768204737454653,1.0,1.0885850191116333,0.01664125919342041,0.3622414469718933,-26.848892474174498,0.4019997077766023,0.6888201236724854,0.92166668176651,0.5870000123977661,0.08500000089406967,0.513762891292572,0.5144767165184021,-0.014169939793646336,1.0077370405197144,0.02662747912108898,-0.47337251901626587,1.0197280645370483
16,0.0077279298566281796,1.0,1.0841989517211914,0.022091973572969437,0.10145264863967896,-26.664410597085954,0.4617811164168159,0.688088595867157,0.9383333325386047,0.5799999833106995,0.042500000447034836,0.5156146287918091,0.5161839127540588,-0.007293799892067909,0.9998844265937805,0.01885480247437954,-0.4811452031135559,1.0149166584014893
17,0.004344327840954065,1.0,1.1111812591552734,0.014730069786310196,0.0088387131690979,-26.53211984038353,0.31953949206788995,0.6873052716255188,0.9700000286102295,0.593500018119812,0.028750000521540642,0.5171546936035156,0.5174087882041931,-0.007806170731782913,1.0032711029052734,0.011714696884155273,-0.4882853031158447,1.0100338459014893
18,0.0073218559846282005,1.0,1.0693151950836182,0.0128529854118824,0.042537569999694824,-26.555501091480256,0.3541044472054503,0.6867931485176086,0.9775000214576721,0.597000002861023,0.026249999180436134,0.5190092921257019,0.5193483233451843,-0.011740226298570633,0.9987838864326477,0.009891348890960217,-0.4901086390018463,1.005132794380188
19,0.004915094003081322,1.0,1.0590357780456543,0.010645865462720394,-0.04369616508483887,-26.31286039054394,0.3412407571836639,0.6857125163078308,0.9866666793823242,0.5989999771118164,0.017500000074505806,0.5211273431777954,0.5209734439849854,-0.0005050695617683232,0.9959379434585571,0.009211334399878979,-0.49078866839408875,1.0002249479293823
20,0.006641539745032787,1.0,1.0685460567474365,0.023400066420435905,0.20562148094177246,-26.565895891189577,0.6200879555951638,0.6863229870796204,0.9908333420753479,0.5960000157356262,0.0037499999161809683,0.5217168927192688,0.5224958658218384,-0.007601095829159021,0.9940013289451599,0.00867935549467802,-0.4913206398487091,0.9953117370605469
21,0.007079175673425198,1.0,1.0256232023239136,0.021642712876200676,0.3887409567832947,-26.322733014822006,0.5928911788866946,0.6852626800537109,0.9950000047683716,0.5979999899864197,0.0024999999441206455,0.5239904522895813,0.5243363976478577,-0.0008159253047779202,1.00010085105896,0.008154097013175488,-0.49184590578079224,0.9903932809829712
22,0.006972167640924454,1.0,1.0097531080245972,0.02175644040107727,0.6043963432312012,-25.937556359171868,0.35428170577233364,0.6854172348976135,0.9991666674613953,0.6000000238418579,0.0012499999720603228,0.5254740715026855,0.5265300273895264,-0.012252001091837883,0.9985709190368652,0.007657547015696764,-0.49234244227409363,0.9854698777198792
23,0.007815370336174965,1.0,1.0283371210098267,0.019209228456020355,0.5871284008026123,-25.6718676507473,0.30334108581431146,0.6835830807685852,1.0,0.6000000238418579,0.0,0.5276963710784912,0.5273216962814331,-0.007061829790472984,0.9921223521232605,0.00716619286686182,-0.49283379316329956,0.9805415272712708
24,0.006371682044118643,1.0,1.0295653343200684,0.01252012699842453,0.4264823794364929,-25.7944985717535,0.4173529950439222,0.6825669407844543,1.0,0.6000000238418579,0.0,0.5295718312263489,0.5286197066307068,-0.006320147775113583,0.9904199242591858,0.006747387815266848,-0.49325260519981384,0.9756090044975281
25,0.006793307606130838,1.0,1.0132958889007568,0.01802501641213894,0.6404722929000854,-25.443013471364974,0.4327170786534257,0.6829546689987183,1.0,0.6000000238418579,0.0,0.5308573246002197,0.5308032631874084,-0.002384837483987212,0.992115318775177,0.006327945739030838,-0.49367204308509827,0.9706723093986511
26,0.006295329425483942,1.0,1.0164837837219238,0.017942236736416817,0.7369267344474792,-25.122770035266875,0.21228890431235653,0.6842992305755615,1.0,0.6000000238418579,0.0,0.5322412252426147,0.5341442227363586,-0.00917040929198265,0.9894957542419434,0.005984080955386162,-0.4940159320831299,0.9657321572303772
27,0.007872865535318851,1.0,1.0191518068313599,0.025703344494104385,0.7523884773254395,-25.027757582068443,0.17624824070977618,0.6824386119842529,1.0,0.6000000238418579,0.0,0.5347252488136292,0.5352192521095276,-0.000318347942084074,0.9905945658683777,0.005531910806894302,-0.494468092918396,0.9607874751091003
28,0.009251509793102741,1.0,0.9924627542495728,0.022800851613283157,0.8993977904319763,-24.896070578694342,0.1274095933201942,0.681710422039032,1.0,0.6000000238418579,0.0,0.5370401740074158,0.5373396873474121,-0.009875324554741383,1.0004318952560425,0.005149488802999258,-0.4948505163192749,0.9558389782905579
29,0.0035524216946214437,1.0,0.9592524766921997,0.01398908719420433,0.9414353370666504,-24.949585205316545,0.5356316623254073,0.6809793710708618,1.0,0.6000000238418579,0.0,0.5390333533287048,0.5390385985374451,-0.004523861221969128,1.001625657081604,0.004864970687776804,-0.49513503909111023,0.9508876204490662
30,0.007604978047311306,1.0,0.9369163513183594,0.02477080374956131,0.9270854592323303,-24.67849436700344,0.232868869670833,0.6807104349136353,1.0,0.6000000238418579,0.0,0.5407177805900574,0.5408983826637268,0.003925217781215906,0.9988299012184143,0.00442900275811553,-0.49557098746299744,0.9459319114685059
31,0.008499512448906898,1.0,0.8999677300453186,0.02628994919359684,0.9574738144874573,-24.49355833530426,0.16129271787558805,0.6801543831825256,1.0,0.6000000238418579,0.0,0.5428860187530518,0.5429357290267944,0.0051868027076125145,1.0003926753997803,0.00410743011161685,-0.49589258432388306,0.9409729838371277
32,0.007677369751036167,1.0,0.8783786296844482,0.022115658968687057,0.9640299081802368,-24.362877199053763,0.1837450458271916,0.6794279217720032,1.0,0.6000000238418579,0.0,0.5445311069488525,0.5441718101501465,0.0131180789321661,0.9970160126686096,0.0038093961775302887,-0.49619060754776,0.9360110759735107
33,0.008200332522392273,1.0,0.8679561614990234,0.020252209156751633,0.9530185461044312,-24.230812972784044,0.18481493668296864,0.6782659292221069,1.0,0.6000000238418579,0.0,0.5466943383216858,0.5455065965652466,0.004445644561201334,0.9959752559661865,0.0035157580859959126,-0.49648424983024597,0.9310462474822998
34,0.007361792027950287,1.0,0.841869592666626,0.023242082446813583,0.9664074182510376,-24.05413835346699,0.16777335378643912,0.6788983345031738,1.0,0.6000000238418579,0.0,0.5481813549995422,0.5480951070785522,0.002137992763891816,0.9951702952384949,0.0032554708886891603,-0.4967445433139801,0.9260787963867188
